... building the model
... training
epoch 263, test error 109, learning_rate=0.591840803623
epoch 264, test error 107, learning_rate=0.590657114983
epoch 265, test error 100, learning_rate=0.589475810528
epoch 266, test error 107, learning_rate=0.588296890259
epoch 267, test error 101, learning_rate=0.587120294571
epoch 268, test error 100, learning_rate=0.585946083069
epoch 269, test error 107, learning_rate=0.584774196148
epoch 270, test error 110, learning_rate=0.583604633808
epoch 271, test error 104, learning_rate=0.582437455654
epoch 272, test error 114, learning_rate=0.581272602081
epoch 273, test error 102, learning_rate=0.58011007309
epoch 274, test error 107, learning_rate=0.578949868679
epoch 275, test error 110, learning_rate=0.57779198885
epoch 276, test error 106, learning_rate=0.576636433601
epoch 277, test error 107, learning_rate=0.575483202934
epoch 278, test error 109, learning_rate=0.574332237244
epoch 279, test error 109, learning_rate=0.573183596134
epoch 280, test error 110, learning_rate=0.572037220001
epoch 281, test error 112, learning_rate=0.570893168449
epoch 282, test error 96, learning_rate=0.569751381874
epoch 283, test error 101, learning_rate=0.56861191988
epoch 284, test error 102, learning_rate=0.567474722862
epoch 285, test error 100, learning_rate=0.566339790821
epoch 286, test error 104, learning_rate=0.565207123756
epoch 287, test error 106, learning_rate=0.564076721668
epoch 288, test error 104, learning_rate=0.562948584557
epoch 289, test error 104, learning_rate=0.561822712421
epoch 290, test error 108, learning_rate=0.560699105263
epoch 291, test error 114, learning_rate=0.559577703476
epoch 292, test error 115, learning_rate=0.558458566666
epoch 293, test error 102, learning_rate=0.557341635227
epoch 294, test error 103, learning_rate=0.556226968765
epoch 295, test error 105, learning_rate=0.555114507675
epoch 296, test error 101, learning_rate=0.554004311562
epoch 297, test error 98, learning_rate=0.55289632082
epoch 298, test error 110, learning_rate=0.55179053545
epoch 299, test error 103, learning_rate=0.550686955452
epoch 300, test error 101, learning_rate=0.549585580826
epoch 301, test error 95, learning_rate=0.548486411572 **
epoch 302, test error 99, learning_rate=0.547389447689
epoch 303, test error 111, learning_rate=0.546294689178
epoch 304, test error 108, learning_rate=0.54520213604
epoch 305, test error 98, learning_rate=0.544111728668
epoch 306, test error 95, learning_rate=0.543023526669
epoch 307, test error 103, learning_rate=0.541937470436
epoch 308, test error 110, learning_rate=0.540853619576
epoch 309, test error 105, learning_rate=0.539771914482
epoch 310, test error 101, learning_rate=0.538692355156
